# Constructed from biom file
OTU ID	CR40-2002_044w-taxa	CR40-2004_044w-taxa	CR40-2005_044w-taxa	CR40-2006_044w-taxa	CR40-2007_044w-taxa	CR40-2008_044w-taxa	CR40-2010_044w-taxa	AL-0004_044w-taxa	AL-0005_044w-taxa	AL-0006_044w-taxa	AL-0007_044w-taxa	AL-0008_044w-taxa	AL-0010_044w-taxa	AL-0012_044w-taxa	AL-0014_044w-taxa	AL-0015_044w-taxa	Consensus Lineage
66219	62.0	203.0	56.0	59.0	323.0	150.0	76.0	35.0	81.0	31.0	169.0	119.0	208.0	134.0	243.0	109.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__phytofermentans
2719313	15.0	37.0	14.0	22.0	53.0	41.0	16.0	15.0	20.0	7.0	51.0	51.0	33.0	23.0	62.0	18.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Enterocloster; s__
208479	6646.0	24139.0	5790.0	5586.0	31409.0	17429.0	7506.0	4827.0	9266.0	2428.0	25976.0	12687.0	24589.0	18505.0	29469.0	9613.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Enterocloster; s__bolteae
1531	375.0	1789.0	341.0	448.0	2837.0	1329.0	455.0	229.0	628.0	212.0	1488.0	1332.0	1344.0	1204.0	1324.0	534.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Enterocloster; s__clostridioformis
572511	426.0	1557.0	469.0	404.0	2493.0	1234.0	754.0	239.0	534.0	244.0	1400.0	1045.0	1713.0	1209.0	1854.0	602.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
33035	1081.0	4583.0	1150.0	991.0	8028.0	3333.0	1967.0	858.0	1636.0	520.0	2827.0	2335.0	5036.0	4060.0	6958.0	1988.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
1322	197.0	943.0	221.0	146.0	890.0	603.0	211.0	199.0	444.0	188.0	972.0	579.0	1215.0	787.0	769.0	316.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__hansenii
2479767	198.0	982.0	241.0	247.0	1304.0	740.0	295.0	165.0	317.0	132.0	759.0	417.0	1172.0	657.0	803.0	250.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__sp. SC05B48
2779518	82.0	311.0	62.0	67.0	474.0	213.0	117.0	38.0	104.0	42.0	219.0	108.0	318.0	188.0	360.0	155.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__sp. LZLJ-3
1796616	0.0	1.0	4.0	4.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__sp. YL58
1912897	403.0	1442.0	439.0	393.0	2912.0	1329.0	1013.0	138.0	461.0	184.0	546.0	554.0	515.0	839.0	477.0	481.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__argi
841	65.0	286.0	57.0	48.0	357.0	201.0	82.0	53.0	86.0	49.0	258.0	164.0	327.0	220.0	283.0	100.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
166486	318.0	1716.0	340.0	325.0	2066.0	1058.0	602.0	253.0	580.0	177.0	1115.0	823.0	1427.0	1246.0	1754.0	573.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__intestinalis
301301	308.0	1170.0	291.0	292.0	1589.0	851.0	454.0	203.0	504.0	178.0	993.0	566.0	1295.0	1073.0	1451.0	432.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__hominis
207244	47.0	178.0	74.0	58.0	245.0	110.0	68.0	57.0	64.0	16.0	126.0	93.0	109.0	123.0	168.0	98.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__
649756	137.0	533.0	141.0	110.0	579.0	329.0	199.0	74.0	130.0	52.0	497.0	284.0	457.0	516.0	772.0	179.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__hadrus
105841	53.0	288.0	82.0	59.0	308.0	186.0	93.0	55.0	104.0	41.0	251.0	180.0	252.0	184.0	243.0	101.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__caccae
1229621	55.0	232.0	66.0	67.0	453.0	160.0	103.0	32.0	82.0	26.0	222.0	136.0	183.0	158.0	186.0	86.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__rhamnosivorans
39488	137.0	2709.0	146.0	127.0	663.0	491.0	210.0	115.0	239.0	64.0	714.0	430.0	653.0	900.0	860.0	398.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerobutyricum; s__hallii
33038	186.0	713.0	196.0	184.0	970.0	446.0	307.0	126.0	277.0	69.0	513.0	391.0	659.0	560.0	613.0	242.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Mediterraneibacter; s__[Ruminococcus] gnavus
830	95.0	334.0	51.0	84.0	497.0	174.0	140.0	52.0	102.0	30.0	214.0	121.0	189.0	213.0	291.0	90.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__
831	78.0	191.0	69.0	64.0	402.0	176.0	150.0	51.0	100.0	28.0	174.0	102.0	209.0	215.0	361.0	131.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__fibrisolvens
185008	24.0	121.0	30.0	18.0	141.0	68.0	33.0	18.0	44.0	14.0	77.0	53.0	118.0	65.0	110.0	34.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__hungatei
43305	30.0	73.0	51.0	35.0	137.0	56.0	53.0	17.0	49.0	6.0	81.0	45.0	73.0	74.0	136.0	42.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__proteoclasticus
1843210	23.0	64.0	9.0	18.0	162.0	55.0	27.0	6.0	17.0	12.0	41.0	41.0	57.0	65.0	83.0	37.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerocolumna; s__
2736602	48.0	244.0	53.0	34.0	213.0	116.0	76.0	28.0	66.0	22.0	217.0	120.0	154.0	122.0	294.0	135.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerocolumna; s__sp. CTTW
2696063	34.0	180.0	42.0	51.0	260.0	119.0	57.0	29.0	80.0	26.0	149.0	95.0	131.0	103.0	140.0	105.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerocolumna; s__sp. CBA3638
433286	32.0	157.0	25.0	29.0	175.0	83.0	39.0	28.0	35.0	7.0	106.0	72.0	115.0	81.0	120.0	73.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerocolumna; s__cellulosilytica
2719231	18.0	192.0	34.0	33.0	279.0	140.0	49.0	22.0	59.0	24.0	82.0	73.0	112.0	108.0	133.0	62.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lacrimispora; s__
84030	63.0	234.0	73.0	62.0	400.0	164.0	111.0	35.0	109.0	35.0	226.0	141.0	221.0	145.0	218.0	72.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lacrimispora; s__saccharolytica
29370	67.0	275.0	60.0	63.0	376.0	177.0	115.0	51.0	80.0	25.0	197.0	106.0	182.0	141.0	233.0	90.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lacrimispora; s__sphenoides
39485	124.0	574.0	133.0	121.0	707.0	341.0	199.0	78.0	207.0	65.0	370.0	299.0	360.0	308.0	594.0	228.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__eligens
28446	52.0	244.0	56.0	56.0	206.0	153.0	97.0	72.0	96.0	51.0	223.0	217.0	249.0	152.0	240.0	85.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerotignum; s__propionicum
1679721	75.0	380.0	82.0	90.0	550.0	262.0	126.0	60.0	119.0	54.0	267.0	171.0	262.0	286.0	346.0	129.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Herbinix; s__luporum
617123	80.0	199.0	111.0	87.0	420.0	252.0	106.0	77.0	91.0	37.0	128.0	123.0	150.0	122.0	223.0	159.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoanaerobaculum; s__umeaense
185007	31.0	152.0	29.0	38.0	211.0	88.0	34.0	41.0	43.0	15.0	90.0	89.0	109.0	68.0	131.0	64.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Pseudobutyrivibrio; s__xylanivorans
698776	23.0	63.0	17.0	21.0	106.0	38.0	24.0	12.0	23.0	6.0	72.0	40.0	58.0	49.0	38.0	41.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Cellulosilyticum; s__
2497860	6.0	5.0	0.0	3.0	34.0	19.0	11.0	4.0	3.0	1.0	5.0	3.0	7.0	5.0	4.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Cellulosilyticum; s__sp. WCF-2
29360	1.0	5.0	7.0	3.0	14.0	15.0	5.0	3.0	1.0	1.0	5.0	5.0	7.0	2.0	8.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Cellulosilyticum; s__lentocellum
541000	90.0	305.0	144.0	120.0	411.0	280.0	151.0	104.0	193.0	48.0	404.0	240.0	435.0	379.0	487.0	190.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1796620	8330.0	29536.0	10107.0	7357.0	38476.0	20664.0	10483.0	8127.0	11410.0	3291.0	26653.0	16260.0	53226.0	28768.0	31881.0	15478.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Acutalibacter; s__muris
292800	1181.0	4330.0	1057.0	1622.0	4825.0	3228.0	1922.0	988.0	2170.0	558.0	5199.0	3037.0	4539.0	3435.0	5109.0	1639.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flavonifractor; s__plautii
853	1273.0	4305.0	892.0	1006.0	6471.0	3384.0	2066.0	841.0	1866.0	530.0	3808.0	2744.0	3881.0	3477.0	4299.0	2262.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
1550024	84.0	291.0	77.0	118.0	584.0	254.0	149.0	82.0	197.0	43.0	455.0	239.0	434.0	308.0	470.0	187.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruthenibacterium; s__lactatiformans
1263	17.0	32.0	54.0	16.0	58.0	32.0	22.0	49.0	26.0	2.0	25.0	18.0	43.0	20.0	28.0	29.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
1161942	56.0	143.0	185.0	78.0	269.0	166.0	90.0	144.0	114.0	30.0	123.0	82.0	173.0	118.0	139.0	97.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__champanellensis
1160721	24.0	55.0	49.0	25.0	136.0	62.0	41.0	44.0	45.0	6.0	72.0	27.0	87.0	47.0	95.0	60.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bicirculans
2564099	27.0	97.0	51.0	27.0	129.0	73.0	51.0	35.0	27.0	6.0	64.0	44.0	73.0	50.0	61.0	39.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__sp. JE7A12
1264	34.0	46.0	46.0	24.0	130.0	71.0	59.0	37.0	42.0	11.0	51.0	43.0	54.0	46.0	60.0	39.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__albus
2507162	20.0	60.0	26.0	28.0	103.0	69.0	44.0	16.0	37.0	16.0	89.0	47.0	87.0	65.0	79.0	36.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Caproiciproducens; s__sp. NJN-50
2721621	18.0	77.0	14.0	26.0	79.0	72.0	42.0	22.0	30.0	8.0	69.0	50.0	96.0	69.0	110.0	32.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Caproiciproducens; s__sp. 7D4C2
253239	29.0	66.0	47.0	26.0	120.0	82.0	63.0	33.0	36.0	21.0	105.0	41.0	111.0	61.0	85.0	56.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ethanoligenens; s__harbinense
216572	456.0	1689.0	500.0	739.0	1738.0	1128.0	772.0	435.0	1261.0	297.0	2616.0	1406.0	2241.0	1441.0	2840.0	730.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__; s__
459786	39.0	131.0	28.0	33.0	109.0	73.0	41.0	25.0	84.0	21.0	222.0	96.0	156.0	92.0	184.0	58.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; s__
2763056	368.0	1289.0	373.0	511.0	1409.0	876.0	610.0	304.0	849.0	169.0	1736.0	1026.0	1639.0	1129.0	2020.0	584.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; s__sp. NSJ-62
2109687	28.0	120.0	31.0	36.0	132.0	76.0	53.0	26.0	97.0	12.0	163.0	96.0	123.0	75.0	181.0	53.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; s__sp. PEA192
351091	189.0	575.0	160.0	213.0	606.0	413.0	259.0	157.0	390.0	93.0	796.0	457.0	718.0	476.0	895.0	262.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; s__valericigenes
2093857	128.0	439.0	89.0	170.0	510.0	322.0	227.0	81.0	274.0	65.0	601.0	361.0	594.0	374.0	713.0	217.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Dysosmobacter; s__welbionis
2610895	455.0	1510.0	410.0	609.0	1988.0	1140.0	748.0	348.0	913.0	180.0	1811.0	1240.0	1646.0	1395.0	2091.0	683.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Flintibacter; s__sp. KGMB00164
1297617	318.0	1250.0	266.0	446.0	1239.0	876.0	520.0	265.0	625.0	146.0	1425.0	845.0	1281.0	927.0	1546.0	524.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Intestinimonas; s__butyriciproducens
2086584	429.0	1603.0	552.0	521.0	2097.0	1214.0	912.0	374.0	680.0	217.0	1427.0	910.0	1750.0	1333.0	1629.0	632.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Massilistercora; s__timonensis
543314	2.0	9.0	14.0	5.0	3.0	2.0	11.0	5.0	4.0	0.0	8.0	0.0	15.0	5.0	12.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__; s__
2060094	9.0	48.0	43.0	18.0	24.0	18.0	56.0	22.0	12.0	6.0	19.0	10.0	74.0	18.0	38.0	46.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Aminipila; s__
2507160	16.0	30.0	25.0	17.0	77.0	36.0	29.0	13.0	17.0	7.0	34.0	20.0	53.0	22.0	54.0	41.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Aminipila; s__sp. JN-18
2697030	7.0	36.0	16.0	12.0	45.0	21.0	33.0	9.0	14.0	4.0	24.0	6.0	25.0	11.0	35.0	25.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Aminipila; s__sp. CBA3637
433296	11.0	24.0	20.0	6.0	45.0	21.0	30.0	9.0	15.0	3.0	26.0	12.0	23.0	12.0	33.0	13.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Aminipila; s__butyrica
86331	3.0	9.0	5.0	3.0	8.0	4.0	4.0	3.0	2.0	5.0	3.0	1.0	13.0	0.0	10.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Mogibacterium; s__
114527	2.0	13.0	7.0	6.0	10.0	5.0	8.0	7.0	5.0	4.0	7.0	7.0	16.0	14.0	25.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Mogibacterium; s__diversum
86332	1.0	5.0	5.0	2.0	5.0	4.0	8.0	2.0	4.0	1.0	4.0	5.0	9.0	8.0	8.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Mogibacterium; s__pumilum
1981510	27.0	129.0	47.0	41.0	139.0	103.0	39.0	32.0	37.0	11.0	87.0	53.0	117.0	98.0	116.0	69.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis; g__Monoglobus; s__pectinilyticus
73918	6.0	19.0	5.0	10.0	13.0	13.0	5.0	4.0	5.0	2.0	24.0	10.0	20.0	3.0	10.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XVII. Incertae Sedis; g__Thermaerobacter; s__
2546351	4.0	11.0	1.0	10.0	11.0	7.0	9.0	1.0	7.0	2.0	9.0	13.0	10.0	5.0	14.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XVII. Incertae Sedis; g__Thermaerobacter; s__sp. FW80
2293838	5.0	18.0	5.0	5.0	29.0	16.0	11.0	3.0	13.0	3.0	15.0	12.0	12.0	9.0	13.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XVII. Incertae Sedis; g__Thermaerobacter; s__sp. PB12/4term
73919	3.0	7.0	4.0	12.0	24.0	12.0	16.0	6.0	12.0	4.0	23.0	13.0	17.0	15.0	22.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XVII. Incertae Sedis; g__Thermaerobacter; s__marianensis
178899	8.0	10.0	8.0	7.0	30.0	20.0	13.0	5.0	8.0	2.0	11.0	6.0	17.0	7.0	12.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XVI. Incertae Sedis; g__Carboxydocella; s__thermautotrophica
186804	2.0	24.0	11.0	7.0	47.0	13.0	9.0	8.0	2.0	2.0	17.0	6.0	16.0	14.0	21.0	14.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
1496	865.0	2955.0	702.0	793.0	5046.0	2689.0	1464.0	579.0	1014.0	507.0	2182.0	1862.0	2487.0	1831.0	2058.0	1436.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridioides; s__difficile
1731	31.0	146.0	17.0	20.0	185.0	108.0	34.0	12.0	36.0	5.0	70.0	108.0	119.0	98.0	68.0	43.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptoclostridium; s__acidaminophilum
89152	12.0	27.0	16.0	25.0	85.0	39.0	16.0	11.0	13.0	4.0	21.0	23.0	32.0	22.0	28.0	30.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptacetobacter; s__hiranonis
1501226	1.0	5.0	3.0	0.0	1.0	3.0	0.0	1.0	2.0	1.0	4.0	0.0	8.0	3.0	2.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__
2724150	7.0	31.0	5.0	6.0	17.0	14.0	5.0	5.0	4.0	2.0	27.0	13.0	9.0	1.0	9.0	13.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__sp. CE17
1115758	2.0	12.0	4.0	1.0	2.0	8.0	3.0	1.0	1.0	4.0	10.0	5.0	8.0	4.0	4.0	17.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__ilealis
1507512	4.0	5.0	6.0	3.0	4.0	5.0	0.0	4.0	5.0	1.0	9.0	7.0	4.0	4.0	6.0	8.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__hominis
143361	11.0	33.0	10.0	11.0	34.0	17.0	19.0	7.0	7.0	3.0	31.0	16.0	30.0	25.0	27.0	24.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Filifactor; s__alocis
1511	9.0	17.0	4.0	3.0	5.0	8.0	7.0	6.0	8.0	3.0	9.0	6.0	16.0	10.0	13.0	17.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Acetoanaerobium; s__sticklandii
1490	7.0	16.0	13.0	4.0	10.0	8.0	17.0	10.0	9.0	2.0	11.0	7.0	24.0	2.0	21.0	29.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Paraclostridium; s__bifermentans
1505	6.0	4.0	2.0	2.0	8.0	9.0	2.0	9.0	3.0	3.0	5.0	6.0	3.0	3.0	7.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Paeniclostridium; s__sordellii
31979	27.0	102.0	38.0	15.0	73.0	52.0	44.0	28.0	20.0	14.0	98.0	46.0	59.0	51.0	95.0	87.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
1485	108.0	398.0	162.0	92.0	343.0	161.0	190.0	123.0	110.0	58.0	275.0	137.0	234.0	131.0	276.0	344.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
1042156	115.0	412.0	134.0	123.0	687.0	302.0	230.0	68.0	193.0	50.0	310.0	269.0	395.0	390.0	486.0	169.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__sp. SY8519
2483110	4.0	37.0	5.0	1.0	12.0	15.0	1.0	4.0	4.0	1.0	48.0	13.0	9.0	2.0	6.0	20.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__sp. JN-1
